budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,genres_parsed,keywords_parsed,num_genres,num_keywords,original_language_index,features,success
180000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.goldencompassmovie.com/index_german.html,2268,"""[{""""id"""": 392",0.0," {""""id"""": 1461"," """"name"""": """"compass""""}"," {""""id"""": 1706",0,0.0," """"name"""": """"lordship""""}"," {""""id"""": 6464"," """"name"""": """"uncle""""}"," {""""id"""": 6678",0.0,0,,,-1,-1,432.0,"(8,[0,1,2,3],[180000000.0,-1.0,-1.0,432.0])",0
200000000,"""[{""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 10749"," """"name"""": """"Romance""""}"," {""""id"""": 53"," """"name"""": """"Thriller""""}]""",http://www.titanicmovie.com,597.0,"""[{""""id"""": 2580"," """"name"""": """"shipwreck""""}"," {""""id"""": 2984",0,0.0," """"name"""": """"ship""""}"," {""""id"""": 4210"," """"name"""": """"panic""""}"," {""""id"""": 4388",0.0,0,,,-1,-1,0.0,"(8,[0,1,2,4],[200000000.0,-1.0,-1.0,597.0])",0
250000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://marvel.com/captainamericapremiere,271110.0,"""[{""""id"""": 393"," """"name"""": """"civil war""""}"," {""""id"""": 6091",0,0.0," """"name"""": """"marvel comic""""}"," {""""id"""": 9663"," """"name"""": """"sequel""""}"," {""""id"""": 9715",0.0,0,,,-1,-1,1.0,"[250000000.0,-1.0,-1.0,1.0,271110.0,0.0,0.0,0.0]",0
150000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}"," {""""id"""": 53",0.0,http://www.jurassicworld.com/,135397,"""[{""""id"""": 1299",0,0.0," """"name"""": """"dna""""}"," {""""id"""": 1720"," """"name"""": """"tyrannosaurus rex""""}"," {""""id"""": 1766",0.0,0,,,-1,-1,1.0,"(8,[0,1,2,3],[150000000.0,-1.0,-1.0,1.0])",0
200000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 53"," """"name"""": """"Thriller""""}]""",http://www.skyfall-movie.com,37724.0,"""[{""""id"""": 470"," """"name"""": """"spy""""}"," {""""id"""": 4289",0,0.0," """"name"""": """"sociopath""""}"," {""""id"""": 15127"," """"name"""": """"killer""""}"," {""""id"""": 15478",0.0,0,,,-1,-1,0.0,"(8,[0,1,2,4],[200000000.0,-1.0,-1.0,37724.0])",0
200000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.sonypictures.com/movies/spider-man2/,558.0,"""[{""""id"""": 851"," """"name"""": """"dual identity""""}"," {""""id"""": 2038",0,0.0," """"name"""": """"pizza boy""""}"," {""""id"""": 8828"," """"name"""": """"marvel comic""""}"," {""""id"""": 9663",0.0,0,,,-1,-1,10.0,"[200000000.0,-1.0,-1.0,10.0,558.0,0.0,0.0,0.0]",0
200000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://marvel.com/ironman3,68721.0,"""[{""""id"""": 949"," """"name"""": """"terrorist""""}"," {""""id"""": 5597",0,0.0," """"name"""": """"tennessee""""}"," {""""id"""": 8613"," """"name"""": """"malibu""""}"," {""""id"""": 8828",0.0,0,,,-1,-1,1.0,"[200000000.0,-1.0,-1.0,1.0,68721.0,0.0,0.0,0.0]",0
200000000,"""[{""""id"""": 10751"," """"name"""": """"Family""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}]""",http://disney.go.com/wonderland/,12155.0,"""[{""""id"""": 818"," """"name"""": """"based on novel""""}"," {""""id"""": 855",0,0.0," """"name"""": """"queen""""}"," {""""id"""": 2486"," """"name"""": """"fantasy""""}"," {""""id"""": 12552",0.0,0,,,-1,-1,7.0,"[200000000.0,-1.0,-1.0,7.0,12155.0,0.0,0.0,0.0]",0
150000000,"""[{""""id"""": 878"," """"name"""": """"Science Fiction""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}]""",http://www.transformersmovie.com/,8373.0,"""[{""""id"""": 1160"," """"name"""": """"egypt""""}"," {""""id"""": 1670",0,0.0," """"name"""": """"chaos""""}"," {""""id"""": 8264"," """"name"""": """"symbol""""}"," {""""id"""": 9854",0.0,0,,,-1,-1,7.0,"[150000000.0,-1.0,-1.0,7.0,8373.0,0.0,0.0,0.0]",0
210000000,"""[{""""id"""": 878"," """"name"""": """"Science Fiction""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}]""",http://www.transformersmovie.com,91314.0,"""[{""""id"""": 9663"," """"name"""": """"sequel""""}"," {""""id"""": 9951",0,0.0," """"name"""": """"transformers""""}"," {""""id"""": 10891"," """"name"""": """"giant robot""""}"," {""""id"""": 14544",0.0,0,,,-1,-1,7.0,"[210000000.0,-1.0,-1.0,7.0,91314.0,0.0,0.0,0.0]",0
